mtknr;abschl;stg;pversion;psem;pnr;pltxt1
dab970eb347af593cca3b856169e4182;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
b37006ef2a6cc07125c687a3e409b596;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
9395c366d5a9e4ab302c5223f2be5e89;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
fa59c894a76ab85fea40dc564c0ed3be;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
3764fb71d7e930f75bb29674afb97842;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
da2a60e6b87b40f326e8926889166718;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
96b3967bde48369fcaf650952e3a7c3b;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
680bab53cb82fdde2aac7a80be4372cc;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
6c12dc78e3401fbf59a3fff3b76bf25c;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
b91aecec1b344a7d0dada020f1177c18;84;IM;222;20242;622223010;Nachhaltigkeit, Umwelt, Verantwortung
6d12a3d6f9a01aa2a74a5d4fe5cf9664;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
a89adbe361e0331ce1228c4f4e8c28e1;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
8e50ffb3184b30e474e6ec710bb21844;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
59b98f0f72629745a03cc4b51b5f9c9f;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
2df621b43f4ee24076c4de0bab902315;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
d0f6bdef30a295197e1e8905fa9e2b61;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
ce074743836b358cc2662a09df2bd30e;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
987414c590802c3a4ff522d7140d0f07;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
8aa4f79157b8a5865380895bce11c540;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
af14672f5adccc20f99addfbbb713e14;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
4c32d300076f3786c4525d7d85528ae8;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
ea5b9c649f9d9161c496b75f8754bcab;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
1bdab4b8fca232685f21ace814d885dc;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
81517f35787bfb578f09f3524a43cfc5;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
7f0023657b83d005910b32f3761ae19d;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
6e17d2527caa8a2da03c698d8f2fd91c;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
dab970eb347af593cca3b856169e4182;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
b37006ef2a6cc07125c687a3e409b596;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
9395c366d5a9e4ab302c5223f2be5e89;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
fa59c894a76ab85fea40dc564c0ed3be;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
3764fb71d7e930f75bb29674afb97842;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
da2a60e6b87b40f326e8926889166718;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
96b3967bde48369fcaf650952e3a7c3b;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
680bab53cb82fdde2aac7a80be4372cc;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
6c12dc78e3401fbf59a3fff3b76bf25c;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
b91aecec1b344a7d0dada020f1177c18;84;IM;222;20242;622223020;Energie 2 - Netzgebundene Energien
5f3604380d46641f0c88cc6cd9cc127c;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
6d12a3d6f9a01aa2a74a5d4fe5cf9664;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
2df621b43f4ee24076c4de0bab902315;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
8aa4f79157b8a5865380895bce11c540;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
af14672f5adccc20f99addfbbb713e14;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
ea5b9c649f9d9161c496b75f8754bcab;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
a07d92f856da7d182df664c9b039f283;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
cbd04dc91dfcd23978069e8afc29fca3;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
1bdab4b8fca232685f21ace814d885dc;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
81517f35787bfb578f09f3524a43cfc5;84;IM;222;20242;622223030;Informations- und Kommunikationstechnik
