Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
;3;BAK-2323-1252323010-Lineare Algebra 2;BAK-2323-1252322030-Einführung in die Statistik;29 9:00-10:00;2;046
BAM-222-17100-Algebra;;;;25 9:30-11:30;;;
;1;BAM-222-17100-Algebra;BAM-222-1222223010-Numerik;01 11:00-13:00;1;167
;2;BAM-222-17100-Algebra;BAM-222-1222223020-Software Engineering;28 8:30-10:30;1;069
;3;BAM-222-17100-Algebra;BAM-222-1222223050-Versicherungsbetriebslehre;07 8:30-10:00;1;309
;4;BAM-222-17100-Algebra;BAM-222-1222223060-Bankbetriebslehre;07 14:00-15:30;1;314
;5;BAM-222-17100-Algebra;BAM-222-1222224020-Stochastik;03 14:00-16:00;1;218
;6;BAM-222-17100-Algebra;BAM-222-1222224040-Datenstrukturen und Algorithmen;05 8:30-10:30;1;261
;7;BAM-222-17100-Algebra;BAM-222-1222225010-Funktionentheorie;30 8:30-10:30;1;117
;8;BAM-222-17100-Algebra;BAM-222-1222226010-Datenbanksysteme;04 11:00-12:00;1;239
;9;BAM-222-17100-Algebra;BAM-222-1222226030-Differentialgleichungen;Kein Datum gef;1;
BAM-222-1222223010-Numerik;;;;01 11:00-13:00;;;
;1;BAM-222-1222223010-Numerik;BAM-222-1222223020-Software Engineering;28 8:30-10:30;10;096
;2;BAM-222-1222223010-Numerik;BAM-222-1222223050-Versicherungsbetriebslehre;07 8:30-10:00;5;139
;3;BAM-222-1222223010-Numerik;BAM-222-1222223060-Bankbetriebslehre;07 14:00-15:30;1;145
;4;BAM-222-1222223010-Numerik;BAM-222-1222224010-Analysis 3;31 8:30-10:30;1;024
;5;BAM-222-1222223010-Numerik;BAM-222-1222224020-Stochastik;03 14:00-16:00;3;049
;6;BAM-222-1222223010-Numerik;BAM-222-1222224040-Datenstrukturen und Algorithmen;05 8:30-10:30;2;091
;7;BAM-222-1222223010-Numerik;BAM-222-17100-Algebra;25 9:30-11:30;1;167
BAM-222-1222223020-Software Engineering;;;;28 8:30-10:30;;;
;1;BAM-222-1222223020-Software Engineering;BAM-222-1222223010-Numerik;01 11:00-13:00;10;096
;2;BAM-222-1222223020-Software Engineering;BAM-222-1222223050-Versicherungsbetriebslehre;07 8:30-10:00;5;238
;3;BAM-222-1222223020-Software Engineering;BAM-222-1222223060-Bankbetriebslehre;07 14:00-15:30;1;243
;4;BAM-222-1222223020-Software Engineering;BAM-222-1222224010-Analysis 3;31 8:30-10:30;1;070
;5;BAM-222-1222223020-Software Engineering;BAM-222-1222224020-Stochastik;03 14:00-16:00;3;147
;6;BAM-222-1222223020-Software Engineering;BAM-222-1222224040-Datenstrukturen und Algorithmen;05 8:30-10:30;2;190
;7;BAM-222-1222223020-Software Engineering;BAM-222-17100-Algebra;25 9:30-11:30;1;069
BAM-222-1222223050-Versicherungsbetriebslehre;;;;07 8:30-10:00;;;
;1;BAM-222-1222223050-Versicherungsbetriebslehre;BAM-222-1222223010-Numerik;01 11:00-13:00;5;139
;2;BAM-222-1222223050-Versicherungsbetriebslehre;BAM-222-1222223020-Software Engineering;28 8:30-10:30;5;238
;3;BAM-222-1222223050-Versicherungsbetriebslehre;BAM-222-1222223060-Bankbetriebslehre;07 14:00-15:30;1;004
;4;BAM-222-1222223050-Versicherungsbetriebslehre;BAM-222-1222224020-Stochastik;03 14:00-16:00;2;088
;5;BAM-222-1222223050-Versicherungsbetriebslehre;BAM-222-1222224040-Datenstrukturen und Algorithmen;05 8:30-10:30;1;046
;6;BAM-222-1222223050-Versicherungsbetriebslehre;BAM-222-17100-Algebra;25 9:30-11:30;1;309
BAM-222-1222223060-Bankbetriebslehre;;;;07 14:00-15:30;;;
;1;BAM-222-1222223060-Bankbetriebslehre;BAM-222-1222223010-Numerik;01 11:00-13:00;1;145
;2;BAM-222-1222223060-Bankbetriebslehre;BAM-222-1222223020-Software Engineering;28 8:30-10:30;1;243
;3;BAM-222-1222223060-Bankbetriebslehre;BAM-222-1222223050-Versicherungsbetriebslehre;07 8:30-10:00;1;004
;4;BAM-222-1222223060-Bankbetriebslehre;BAM-222-17100-Algebra;25 9:30-11:30;1;314
BAM-222-1222224010-Analysis 3;;;;31 8:30-10:30;;;
;1;BAM-222-1222224010-Analysis 3;BAM-222-1222223010-Numerik;01 11:00-13:00;1;024
;2;BAM-222-1222224010-Analysis 3;BAM-222-1222223020-Software Engineering;28 8:30-10:30;1;070
;3;BAM-222-1222224010-Analysis 3;BAM-222-1222226010-Datenbanksysteme;04 11:00-12:00;1;096
BAM-222-1222224020-Stochastik;;;;03 14:00-16:00;;;
;1;BAM-222-1222224020-Stochastik;BAM-222-1222223010-Numerik;01 11:00-13:00;3;049
;2;BAM-222-1222224020-Stochastik;BAM-222-1222223020-Software Engineering;28 8:30-10:30;3;147
;3;BAM-222-1222224020-Stochastik;BAM-222-1222223050-Versicherungsbetriebslehre;07 8:30-10:00;2;088
;4;BAM-222-1222224020-Stochastik;BAM-222-17100-Algebra;25 9:30-11:30;1;218
BAM-222-1222224040-Datenstrukturen und Algorithmen;;;;05 8:30-10:30;;;
;1;BAM-222-1222224040-Datenstrukturen und Algorithmen;BAM-222-1222223010-Numerik;01 11:00-13:00;2;091
;2;BAM-222-1222224040-Datenstrukturen und Algorithmen;BAM-222-1222223020-Software Engineering;28 8:30-10:30;2;190
;3;BAM-222-1222224040-Datenstrukturen und Algorithmen;BAM-222-1222223050-Versicherungsbetriebslehre;07 8:30-10:00;1;046
;4;BAM-222-1222224040-Datenstrukturen und Algorithmen;BAM-222-1222226010-Datenbanksysteme;04 11:00-12:00;1;020
;5;BAM-222-1222224040-Datenstrukturen und Algorithmen;BAM-222-17100-Algebra;25 9:30-11:30;1;261
BAM-222-1222225010-Funktionentheorie;;;;30 8:30-10:30;;;
;1;BAM-222-1222225010-Funktionentheorie;BAM-222-1222226030-Differentialgleichungen;Kein Datum gef;1;
;2;BAM-222-1222225010-Funktionentheorie;BAM-222-17100-Algebra;25 9:30-11:30;1;117
BAM-222-1222226010-Datenbanksysteme;;;;04 11:00-12:00;;;
;1;BAM-222-1222226010-Datenbanksysteme;BAM-222-1222224010-Analysis 3;31 8:30-10:30;1;096
;2;BAM-222-1222226010-Datenbanksysteme;BAM-222-1222224040-Datenstrukturen und Algorithmen;05 8:30-10:30;1;020
;3;BAM-222-1222226010-Datenbanksysteme;BAM-222-17100-Algebra;25 9:30-11:30;1;239
BAM-222-1222226030-Differentialgleichungen;;;;Kein Datum gef;;
;1;BAM-222-1222226030-Differentialgleichungen;BAM-222-1222225010-Funktionentheorie;30 8:30-10:30;1;
;2;BAM-222-1222226030-Differentialgleichungen;BAM-222-17100-Algebra;25 9:30-11:30;1;
