Fach 1;Lfd. Nr.;Fach 1;Fach 2;Datum / Uhrzeit;Kollisionen;Abstand
;2;Bahntechnik.--.17260.--.162.--.VIS;Transportlogistik.--.1040.--.162.--.VIS;27 16:30-17:30;1;092
;3;Bahntechnik.--.17260.--.162.--.VIS;ÖPNV Straße und Schiene.--.1030.--.162.--.VIS;30 9:00-12:00;1;026
Bahntechnik.--.19100.--.222.--.IM;;;;31 14:00-15:00;;;
;1;Bahntechnik.--.19100.--.222.--.IM;Abfallwirtschaft.--.622227050.--.222.--.IM;29 17:00-18:00;5;044
;2;Bahntechnik.--.19100.--.222.--.IM;Baustellenmanagement Projektmanagement.--.18130.--.222.--.IM;07 11:30-12:30;1;164
;3;Bahntechnik.--.19100.--.222.--.IM;Brandschutz Projektmanagement.--.18100.--.222.--.IM;28 11:30-12:30;4;073
;4;Bahntechnik.--.19100.--.222.--.IM;Energie 3.--.622225010.--.222.--.IM;31 11:00-12:30;2;001
;5;Bahntechnik.--.19100.--.222.--.IM;Innovative Verfahren im Straßenbau.--.19140.--.222.--.IM;25 14:00-15:00;6;143
;6;Bahntechnik.--.19100.--.222.--.IM;Internationaler ÖPNV.--.19130.--.222.--.IM;06 11:30-12:15;2;140
;7;Bahntechnik.--.19100.--.222.--.IM;Nachhaltigkeit, Umwelt, Verantwortung.--.622223010.--.222.--.IM;05 8:30-9:30;1;113
;8;Bahntechnik.--.19100.--.222.--.IM;Recht 2.--.622227020.--.222.--.IM;05 11:30-13:00;5;116
;9;Bahntechnik.--.19100.--.222.--.IM;Siedlungswasserwirtschaft.--.622225030.--.222.--.IM;27 14:00-17:00;2;093
;10;Bahntechnik.--.19100.--.222.--.IM;Verkehrsinfrastruktur 3.--.622226030.--.222.--.IM;04 11:00-13:00;12;092
;11;Bahntechnik.--.19100.--.222.--.IM;Wasserversorgung 2 Schwerpunkt Energie und Wasser.--.17120.--.222.--.IM;01 12:00-13:00;4;021
;12;Bahntechnik.--.19100.--.222.--.IM;Wirtschaftslehre 4.--.622226010.--.222.--.IM;03 14:00-17:00;9;071
;13;Bahntechnik.--.19100.--.222.--.IM;Wirtschaftslehre 5.--.622227010.--.222.--.IM;Kein Datum gef;4;
Bankbetriebslehre.--.1222123130.--.212.--.MB;;;;07 14:00-15:30;;;
;1;Bankbetriebslehre.--.1222123130.--.212.--.MB;Datenbanksysteme.--.1222127010.--.212.--.MB;04 11:00-12:00;1;074
Bankbetriebslehre.--.1222223060.--.222.--.BAM;;;;07 14:00-15:30;;;
